product_name,brand,price,category,market_name,image_url,link,query_date
Cerveza cusquena 6pack lata 473cc,Cusquena,6990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/21def377-806a-4827-b12d-13f7ec9f2fdb.5210d706aa221804e4e16e286e00b9f6.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/21def377-806a-4827-b12d-13f7ec9f2fdb.5210d706aa221804e4e16e286e00b9f6.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/cerveza-cusquena-6pack-lata-473cc/00780213000292,2025-04-24 16:52:13
Pack x24 cerveza sin alcohol botella de 250 cc,Mahou,19200,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/3f00af31-72da-46c2-831f-1a845cf71610.54f1fc2056748ef305c3cabf1fc0d3eb.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/3f00af31-72da-46c2-831f-1a845cf71610.54f1fc2056748ef305c3cabf1fc0d3eb.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x24-cerveza-sin-alcohol-botella-de-250-cc/00046880336103,2025-04-24 16:52:13
Austral patagonia blond lata 470,Austral,8300,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/25919fcb-05a8-47f7-ba66-26bfcdd2622a.d00216fa343f68e16e2c660bfc447d32.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/25919fcb-05a8-47f7-ba66-26bfcdd2622a.d00216fa343f68e16e2c660bfc447d32.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/austral-patagonia-blond-lata-470/00780210000511,2025-04-24 16:52:13
Cerveza 5g 355ml royal guard,Royal guard,6990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/35c485a5-790d-48b5-8a08-e9f21fc8d070.356f42e968c7f42b75cd160674949ebc.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/35c485a5-790d-48b5-8a08-e9f21fc8d070.356f42e968c7f42b75cd160674949ebc.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/cerveza-5g-355ml-royal-guard/00780210050558,2025-04-24 16:52:13
Austral calafate 500,Austral,13800,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/1125a9cb-2a76-480f-a2f3-d64542076b19.375c44e1898ed18eda2cd5a8b450e93f.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/1125a9cb-2a76-480f-a2f3-d64542076b19.375c44e1898ed18eda2cd5a8b450e93f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/austral-calafate-500/00780963410072,2025-04-24 16:52:13
Cerveza 4.5g lata 473ml cusquena,Cusquena,24990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/0c21d367-80c2-4839-8136-968f6cc71140.94002e74ab7e6d3caffc28bfc5d1830e.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/0c21d367-80c2-4839-8136-968f6cc71140.94002e74ab7e6d3caffc28bfc5d1830e.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/cerveza-4-5g-lata-473ml-cusquena/00775374900321,2025-04-24 16:52:13
"12x cerveza mahou cinco estrellas lata 5,5° 330cc",Mahou,8990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/1523ea87-54c6-4ce3-af62-98191ea0c6fb.917e6fd5b1baaa0e787e382506a90db2.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/1523ea87-54c6-4ce3-af62-98191ea0c6fb.917e6fd5b1baaa0e787e382506a90db2.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/12x-cerveza-mahou-cinco-estrellas-lata-5-5-330cc/00841132712212,2025-04-24 16:52:13
Pack 24 cervezas royal guard botellin 355cc,Royal guard,27990,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/1d541a82-409d-45b5-ba30-fcbf8b8afe30.6d9d68cc6fc3ab1244cb22c0265a2e5a.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/1d541a82-409d-45b5-ba30-fcbf8b8afe30.6d9d68cc6fc3ab1244cb22c0265a2e5a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-24-cervezas-royal-guard-botellin-355cc/00780210050553,2025-04-24 16:52:13
"Pack x12 cerveza artesanal - monjas, 11° (dark belgian strong ale) - 475 ml",Anfiteatro,29700,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/52934a20-e269-49ef-b684-5f3aef9337e1.af7bd11f4b5b1b827eb2c52221ad5b60.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/52934a20-e269-49ef-b684-5f3aef9337e1.af7bd11f4b5b1b827eb2c52221ad5b60.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/packs/pack-x12-cerveza-artesanal-monjas-11-dark-belgian-strong-ale-475-ml/00073206483547,2025-04-24 16:52:13
Pack x24 cerveza 5 estrellas botella de 330 cc,Mahou,26400,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/f9bd7ce7-ccfc-4ac6-b509-d3677edd9699.10bb57d0ef008e3c6e62386924272fce.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/f9bd7ce7-ccfc-4ac6-b509-d3677edd9699.10bb57d0ef008e3c6e62386924272fce.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x24-cerveza-5-estrellas-botella-de-330-cc/00046775523116,2025-04-24 16:52:14
